ID_CIUDAD,CIUDAD,LATITUD,LONGITUD
1,Abra Pampa,-22.7167,-65.7
2,Adrogue,-34.8,-58.3833
3,Aguilares,-27.4333,-65.6167
4,Aimogasta,-28.5609,-66.8059
5,Alba Posse,-27.566,-54.683
6,Alberti,-35.0269,-60.2759
7,Algarrobo del Águila,-36.401,-67.1452
8,Alto Río Senguer,-45.0419,-70.8234
9,Aluminé,-39.2369,-70.9197
10,Alvear,-29.0989,-56.5535
11,Ameghino,-34.844,-62.467
12,Aminga,-28.8477,-66.9304
13,Ancasti,-28.8,-65.5
14,Andacollo,-37.1795,-70.6691
15,Andalgalá,-27.6,-66.3167
16,Antofagasta de la Sierra,-26.0594,-67.4064
17,Añatuya,-28.4667,-62.8333
18,Añelo,-38.35,-68.7833
19,Apóstoles,-27.9167,-55.7667
20,Aristóbulo del Valle,-27.0952,-54.897
21,Arraga,-28.0498,-64.2225
22,Arrecifes,-34.0639,-60.1036
23,Avellaneda,-34.6625,-58.3678
24,Ayacucho,-37.1525,-58.4882
25,Azul,-36.7833,-59.85
26,Bahía Blanca,-38.7167,-62.2667
27,Balcarce,-37.8464,-58.2556
28,Banda del Río Salí,-26.8333,-65.1667
29,Bandera,-28.9028,-62.2667
30,Banfield,-34.75,-58.3833
31,Bañado de Ovanta,-28.1,-65.3167
32,Baradero,-33.8,-59.5167
33,Belén,-27.6496,-67.0333
34,Belén de Escobar,-34.3333,-58.8167
35,Bell Ville,-32.6333,-62.6833
36,Bella Vista,-28.5092,-59.0401
37,Benito Juárez,-37.6833,-59.8
38,Berazategui,-34.7679,-58.2133
39,Bernal,-34.7,-58.2833
40,Bernardo de Irigoyen,-26.2553,-53.6469
41,Bernasconi,-37.9,-63.7167
42,Berón de Astrada,-27.5507,-57.5346
43,Bragado,-35.1167,-60.5
44,Brandsen,-35.1667,-58.2167
45,Brea Pozo,-28.25,-63.95
46,Buena Esperanza,-34.75,-65.25
47,Buenos Aires,-34.5997,-58.3819
48,Burruyacú,-26.4981,-64.7411
49,Burzaco,-34.8167,-58.3667
50,Buta Ranquil,-37.0515,-69.8779
51,Cachí,-25.1203,-66.1652
52,Cafayate,-26.07,-65.98
53,Caleta Olivia,-46.4333,-67.5333
54,Camarones,-44.7971,-65.7099
55,Campana,-34.1667,-58.9167
56,Campo Gallo,-26.5833,-62.85
57,Campo Grande,-27.2079,-54.9797
58,Campo Largo,-26.8008,-60.8422
59,Cañada de Gómez,-32.8167,-61.4
60,Cañuelas,-35.0518,-58.7606
61,Capilla del Señor,-34.2921,-59.1018
62,Capitán Bermúdez,-32.8167,-60.7167
63,Capitán Sarmiento,-34.1833,-59.7667
64,Carhué,-37.1667,-62.7333
65,Carlos Casares,-35.6167,-61.3667
66,Carlos Tejedor,-35.3927,-62.4215
67,Carmen de Areco,-34.3833,-59.8167
68,Carmen de Patagones,-40.8167,-63
69,Caseros,-34.6167,-58.5333
70,Casilda,-33.0442,-61.1681
71,Castelar,-34.65,-58.65
72,Castelli,-25.95,-60.6167
73,Catamarca,-28.4686,-65.7792
74,Catriló,-36.4083,-63.416
75,Caucete,-31.65,-68.2833
76,Centenario,-38.8167,-68.1333
77,Cerrillos,-24.9,-65.4833
78,Chacabuco,-34.65,-60.49
79,Chajarí,-30.7667,-57.9833
80,Chamical,-30.3592,-66.3133
81,Charadai,-27.6546,-59.8629
82,Charata,-27.2144,-61.1881
83,Chascomús,-35.575,-58.0089
84,Chepes,-31.35,-66.6
85,Chicoana,-25.1,-65.55
86,Chilecito,-29.1667,-67.5
87,Chimbas,-31.4833,-68.5333
88,Chivilcoy,-34.9,-60.0167
89,Choele Choel,-39.2858,-65.6542
90,Chos Malal,-37.3833,-70.2667
91,Chumbicha,-28.8666,-66.2333
92,Ciudad General Belgrano,-34.7261,-58.5289
93,Clorinda,-25.2848,-57.7185
94,Colón,-32.2241,-58.1419
95,Colonia Elisa,-26.9167,-59.5167
96,Comandante Fontana,-25.3333,-59.6833
97,Comodoro Rivadavia,-45.8667,-67.5
98,Concarán,-32.5583,-65.2444
99,Concepción,-28.393,-57.8868
100,Concepción de la Sierra,-27.9833,-55.5167
101,Concepción del Uruguay,-32.4833,-58.2333
102,Concordia,-31.3922,-58.0169
103,Córdoba,-31.4167,-64.1833
104,Coronda,-31.9667,-60.9167
105,Coronel Dorrego,-38.7187,-61.2873
106,Coronel Suárez,-37.4547,-61.9334
