ID_CUENTA,ID_CLIENTE,MONTO,CUOTAS,NRO_COMPROBANTE,ID_PRODUCTO,ID_CANAL_DESEMBOLSO,ID_TIPO_FINANCIACION,DIAS_MORA,ID_ESTADO_CREDITO,ID_CANAL_SOLICITUD,FECHA_OTORGAMIENTO
24221,93,99123.21,25,17182359938,CBR-2,TR333,4,5,1,2,2021-12-30
24220,152,39749.61,25,17182359997,CC-1,EF222,1,141,2,2,2021-12-29
24215,73,53149.25,14,17182359918,CC-1,TR333,1,1,1,1,2021-12-28
24216,1109,33596.27,25,17182360954,CCR-2,BV111,1,116,2,2,2021-12-28
24217,1251,59262.68,21,17182361096,CB-1,BV111,4,5,1,1,2021-12-28
24218,1258,41863.62,46,17182361103,CBR-2,TR333,4,215,2,2,2021-12-28
24219,1369,96712.64,32,17182361214,CBR-2,BV111,4,5,1,3,2021-12-28
24209,327,68256.33,25,17182360172,CB-1,BV111,4,1,1,1,2021-12-27
24210,933,23652.3,26,17182360778,CC-1,TR333,1,106,2,2,2021-12-27
24211,1285,83632.82,15,17182361130,CBR-2,TR333,4,6,1,1,2021-12-27
24212,1595,24928.91,17,17182361440,CPR-2,TR333,3,6,1,2,2021-12-27
24213,1691,71845.85,21,17182361536,CBR-2,BV111,4,161,2,1,2021-12-27
24214,1883,18847.08,36,17182361728,CC-1,TR333,1,216,2,1,2021-12-27
24207,266,43403.55,13,17182360111,CC-1,TR333,1,3,1,2,2021-12-26
24208,1364,53317.6,31,17182361209,CBR-2,TR333,4,157,2,3,2021-12-26
24198,219,99265.06,23,17182360064,CB-1,BV111,4,208,2,2,2021-12-25
24199,331,38424.59,37,17182360176,CC-1,BV111,1,237,2,1,2021-12-25
24200,336,67426.21,17,17182360181,CC-1,TR333,1,2,1,3,2021-12-25
24201,355,65565.15,15,17182360200,CC-1,TR333,1,0,1,2,2021-12-25
24202,386,78095.03,27,17182360231,CC-1,TR333,1,54,2,3,2021-12-25
24203,610,31712.88,23,17182360455,COR-2,EF222,2,5,1,1,2021-12-25
24204,998,67540.24,22,17182360843,CO-1,TR333,2,139,2,2,2021-12-25
24205,1298,93295.33,46,17182361143,CBR-2,TR333,4,3,1,1,2021-12-25
24206,1405,58954.53,31,17182361250,CP-1,TR333,3,199,2,1,2021-12-25
24195,259,92079.47,34,17182360104,CC-1,BV111,1,1,1,1,2021-12-24
24196,344,72190.87,28,17182360189,CC-1,TR333,1,224,2,3,2021-12-24
24197,1995,67376.25,27,17182361840,CC-1,TR333,1,0,1,2,2021-12-24
24191,337,43625.28,35,17182360182,CC-1,BV111,1,45,2,1,2021-12-23
24192,341,70814.11,19,17182360186,CC-1,BV111,1,68,2,3,2021-12-23
24193,352,12384.36,26,17182360197,CC-1,EF222,1,0,1,1,2021-12-23
24194,990,80458.05,29,17182360835,CC-1,EF222,1,54,2,1,2021-12-23
24187,329,52410.59,24,17182360174,CC-1,BV111,1,4,1,2,2021-12-22
24188,338,53249.59,47,17182360183,CC-1,TR333,1,91,2,2,2021-12-22
24189,348,14509.05,36,17182360193,CBR-2,TR333,4,6,1,3,2021-12-22
