ID_PROVINCIA,PROVINCIA,PAIS
0,Ciudad Autónoma de Buenos Aires,Argentina
1,Buenos Aires,Argentina
2,Catamarca,Argentina
3,Córdoba,Argentina
4,Corrientes,Argentina
5,Entre Ríos,Argentina
6,Jujuy,Argentina
7,Mendoza,Argentina
8,La Rioja,Argentina
9,Salta,Argentina
10,San Juan,Argentina
11,San Luis,Argentina
12,Santa Fe,Argentina
13,Santiago del Estero,Argentina
14,Tucumán,Argentina
16,Chaco,Argentina
17,Chubut,Argentina
18,Formosa,Argentina
19,Misiones,Argentina
20,Neuquén,Argentina
21,La Pampa,Argentina
22,Río Negro,Argentina
23,Santa Cruz,Argentina
24,Tierra del Fuego,Argentina
